name,category,ingredient
[여름 안동 편] 집장,밑반찬 메인요리,무 가지 새송이버섯 청양고추 다시마(사방 3*3cm) 엿기름 물 찹쌀가루 마 가루 메줏가루 진미채 액젓
[여름 안동 편] 간고등어찜,밑반찬 메인요리,간고등어 쌀뜨물 달걀 지단 송송 썬 쪽파 실고추 채 썬 석이버섯
양지수육전골,한식 메인요리,소고기 양지 부추 팽이버섯 대파(녹색 부분) 양파 마늘 생강 통후추 간장 물 맛술 설탕 식초 양파 청양고추 초이스레시피 분말육수(한우사골) 물 소금 후춧가루
큐브 샐러드,간단요리,수박 파파야 방울토마토 오이 페타치즈 화이트 발사믹 식초 올리브오일 레몬즙 올리고당 레몬제스트(생략 가능) 다진 민트잎(생략 가능) 소금 후춧가루
참치 오트밀죽,간단요리 메인요리,퀵오트밀 물 다진 마늘 다진 당근 참치캔 참치액젓 소금 후춧가루 참기름 달걀 통깨
톳문어솥밥,메인요리,쌀 자숙 문어 톳 다시마 우린 물 쯔유 당근 미나리 소금 참기름
애플그라탕,오븐 요리 간식,사과 설탕 버터 시나몬 가루 소금 클로티드 크림 달걀 노른자 설탕
어묵꼬치전,오븐 요리 안주,어묵 김 쪽파 팽이버섯 깻잎 밀가루 달걀 식용유 나무 꼬치
[정호영] 라임 냉소바,메인요리,메밀면 다시마 가다랑어포 라임 물 양조간장 설탕 미림
[정호영] 장어 달걀말이,메인요리,민물장어 달걀 소금 식용유 물 다시마 가다랑어포 양조간장 설탕 미림 양조간장 미림 청주 설탕 물
애호박 라자냐,오븐 요리 메인요리,애호박 간 소고기 양파 마늘 허브가루 토마토소스 피자치즈 빵가루 식용유 소금 후춧가루
흑돼지 스테이크,초대요리 메인요리,흑돼지 목살 화이트 와인 허브가루 소금 후춧가루 당근 버터 생크림 물 소금 꽈리고추 통마늘
전복 리조또,메인요리,불린 쌀 전복 생크림 화이트와인 물 소금 파마산치즈 후춧가루
홍합밥,메인요리,쌀 홍합살 톳 다시마 우린 물 진간장 맛술 진간장 참기름 다진 마늘 고운 고춧가루 쪽파 깨
춘권피 핑거푸드,퓨전 간단요리,춘권피 식용유 메이플시럽 달걀물 크림치즈 다진 호두 딜
크리스마스 리스 소시지볼,양식 초대요리,비엔나 소시지 강력분 우유 미지근한 물 녹인 버터 달걀 설탕 소금 드라이 이스트 로즈마리 케첩 메이플 시럽 우유 건 오레가노
프랑스식 치킨스튜,양식 메인요리,닭다리살 레드와인 샬롯 양송이버섯 통베이컨 토마토 페이스트 버터 월계수잎 타임 소금 후춧가루
가지무침,간단요리 밑반찬,가지 홍고추 쪽파 식용유 통깨 간장 물엿 고춧가루 참치액 다진 마늘 참기름 후춧가루
병아리콩 템페,메인요리,병아리콩 템페 효모
초당옥수수 수프,간식 메인요리,초당옥수수 감자 양파 우유 생크림 무염 버터 소금 후춧가루 파슬리 (생략 가능)
몬테크리스토 샌드위치,오븐 요리,식빵 슬라이스햄 슬라이스 체다치즈 딸기쨈 허니머스타드 빵가루 식용유 달걀 우유 설탕 소금
김부각,한식 밑반찬,김밥용 김 참기름 통깨 식용유 찹쌀가루 물 소금
구운 주먹밥,오븐 요리 메인요리,밥 멸치볶음 명란젓 참기름 검은깨 통깨 마요네즈 소금 후춧가루 식용유 간장 맛술 올리고당 설탕 생강가루
선 드라이드 토마토,채식,방울토마토 올리브오일 로즈마리
탄두리닭봉,오븐 요리 메인요리,닭봉 고수 맛술 소금 후춧가루 카레가루 파프리카 가루 칠리소스 플레인요거트 올리브오일 다진 마늘 생강가루 후춧가루
명란바게트,간단요리 간식,명란 바게트 마요네즈 올리고당 송송 썬 쪽파 잘게 자른 김 통깨
골뱅이튀김과 파채,오븐 요리 안주,골뱅이 통조림 대파 튀김가루 식용유 튀김가루 차가운 물 간장 식초 설탕 고춧가루
애호박튀김과 굴튀김,오븐 요리,애호박 굴 밀가루 빵가루 달걀 식용유 소금 후춧가루
피쉬앤칩스,메인요리,대구살 감자 레몬 식용유 소금 후춧가루 밀가루 달걀 빵가루 딜 마요네즈 설탕 식초 다진 양파 다진 피클 레몬즙 (생략 가능) 소금 후춧가루
